when	언제
possible	가능한
point	점, 요점
soup	수프, 국
period	기간, 시대
sunshine	햇빛
nothing	아무것도 ~않다
phone	전화
special	특별한
servant	하인
finally	마침내
comfortable	기분 좋은, 안락한
tooth	이, 치아
fox	여우
welcome	환영하다
station	기차역
stomach	위
close	닫다
method	방법
corner	구석
musical	음악의, 음악적인
band	띠
kilometer	킬로미터
practice	연습
sweat	땀
quickly	빠른 , 빨리
none	아무도 ~ 않다
sick	아픔, 고통
path	작은 길
modern	현대의
lovely	사랑스러운
forever	영원히
handsome	잘생긴
glad	기쁜
Europe	유럽
bicycle	자전거
camp	야영하다
mile	마일
telephone	전화
lawyer	변호사
push	밀다
stone	돌덩이
remember	기억하다
test	시험
power	힘
brown	갈색
bed	침대
form	모양, 모양을 이루다
harm	손해, 해치다
England	영국
shock	충격
stove	난로
dress	의복, 옷을 입다
dance	춤추다
sign	신호,서명하다
heart	심장, 마음
Japanese	일본의, 일본사람
leg	다리
later	나중에
wind	바람
professor	교수
midnight	한밤중
department	부서 분야
mountain	산
paper	종이
kitchen	부엌
top	탑
delicious	맛있는
connect	연결하다
lunch	점심식사
center	중앙
tiger	호랑이
show	보여주다
luck	행운
completely	완전히
does	do의 3인칭 단수
trade	무역
tall	키가 큰
somewhere	어딘가에
weekend	주말
nature	자연
o'clock	정각
bus	버스
often	종종
enemy	적
cookie	쿠키
believe	믿다
dig	파다
clock	시계
beginning	시작
Canada	캐나다
sister	자매
doctor	의사, 박사
except	~를 제외하고는
volleyball	배구
dictionary	사전
fruit	과일
wool	양털
anybody	누군가
success	성공
else	그 외에
miracle	기적
host	주인
ship	배
note	각서, 메모
hour	시간
where	어디에
rose	장미
Wednesday	수요일
night	밤
august	8월
actor	배우
good bye	안녕(작별인사)
autumn	가을
huge	거대한
pardon	용서하다
soldier	군인
ink	잉크
turn	회전하다
yesterday	어제
clean	깨끗한
tape	테이프
tail	꼬리
author	저자, 작가
jacket	재킷
plane	비행기
Mrs.	(여성)~씨, ~부인
difference	차이
pride	자랑, 자존심
unify	통일하다
meter	미터
art	예술, 미술
toy	장난감
low	낮은
disease	병, 질병
drum	북
spirit	정신
slow	느린
leaf	나뭇잎
step	걸음, 계단
hammer	망치
newspaper	신문
condition	조건, 상태
ambition	큰 뜻을 품은, 야망을 품은
traffic	교통
runner	주자
October	10월
hair	머리털
cousin	사촌
golden	황금 같은
share	공유하다
recorder	녹음기
Spain	스페인
sleep	자다
normal	보통의 ,정상의
date	날짜, 데이트
symbol	상징
simple	간단한
nose	코
computer	컴퓨터
unless	만일 ~ 아니면
basket	바구니
warm	따뜻한
Sunday	일요일
kindness	친절
ball	공
sale	판매
hang	걸다
develop	개발하다
travel	여행
memory	기억, 추억
meeting	모임
subway	지하철
roll	구르다
useful	쓸모 있는
woman	여자
however	그러나
foreign	외국의
wood	나무
picnic	소풍
inside	안쪽
century	세기, 100년
cent	센트
excitement	흥분
officer	장교, 경찰관
swim	수영하다
ghost	유령
certain	확실한, 어떤
smoke	연기, 담배 피우다
sad	슬픈
cloth	천, 헝겊
hometown	고향
curtain	커튼
fill	채우다
choose	고르다
football	축구
education	교육
million	백만
umbrella	우산
cheese	치즈
weight	무게
turkey	칠면조
neck	목
suppose	상상하다, 생각하다
light	빛
garden	정원
powerful	강력한
outside	외부
equal	같은
accident	사고
nobody	아무도~아니다
enough	충분한
double	두 배의
calm	고요한
baseball	야구
enter	들어가다, 입학하다
pay	돈을 내다
dive	다이빙하다
appointment	약속
truck	트럭
juice	주스
milk	우유
Spanish	스페인의 ,스페인사람
left	왼쪽
shall	~일 것이다
cook	요리사
afternoon	오후
arm	팔
along	~을 따라서
hate	미워하다
either	어느 한쪽의, ~도 또한
dry	마른, 말리다
opinion	의견
steak	스테이크
wear	입다, 착용하다
somebody	누구라도, 누군가
queen	여왕
afraid	걱정하여
anyone	아무도, 누구라도
surprise	놀라게 하다
party	파티
joy	즐거움, 기쁨
Chinese	중국의 중국사람
boring	지루한
quite	매우
anything	아무것도 ~않다
unite	결합하다
satisfy	만족시키다
pocket	호주머니
heaven	하늘
excite	흥분시키다
sea	바다
beyond	~저편에
fight	싸움하다, 말다툼하다
humanism	인간의, 인간적인
stranger	낯선 사람
nor	~도 또한 ~아니다
habit	습관
strong	강한
suddenly	갑자기
class mate	반 친구
singer	가수
pleasant	기분 좋은
early	일찍
fog	안개
several	몇몇의
yellow	노란색
person	사람
value	가치
behind	~의 뒤에
another	또 하나의 다른
excellent	우수한
Italian	이탈리아의
glory	영광
during	~동안
coast	해안
elementary	기본의 초보의
deep	깊은
interest	흥미
choice	선택
Russia	러시아의,러시아사람
navy	해군
visitor	손님
friendship	우정
flower	꽃
fresh	신선한
cost	비용
garbage	쓰레기
class	수업, 학급
sense	감각
peace	평화
pants	바지
experience	경험, 경험하다
hers	그녀의 것
shop	가게
side	측면
south	남쪽
hall	구멍
charming	매력적인
hat	모자
sail	항해하다
round	~주위에
science	과학
ancestor	조상
hobby	취미
repeat	되풀이하다
amount	양, 액수
hungry	배고픔
fry	기름에 튀기다
southern	남쪽의
everyone	모두다
nation	국민, 국가
search	찾다,수색하다
reader	독자
send	보내다
through	~을 통하여
climate	기후
notebook	공책
magic	마법, 마법의
shot	사격하다
lips	입술
hide	숨다
energy	힘
hell	지옥
line	선, 줄
candy	캔디
radio	라디오
angry	화난
wine	포도주
reply	대답하다
knee	무릎
promise	약속하다
seed	씨앗
toward	~쪽으로
seem	~처럼 보이다
fix	고정시키다
wonderful	놀라운
Olympic	올림픽
rock	바위
question	질문
bright	밝은
fall	떨어지다
rich	부유한
wife	아내
lie	눕다, 거짓말
Roman	로마, 로마사람
festival	축제
cheer	환호하다
pool	수영장
skate	스케이트
sugar	설탕
love	사랑하다
print	인쇄
trick	묘기
vacation	휴가
shut	닫다
usually	대개
fun	재미
violin	바이올린
large	늦은
town	마을
everything	모든 것
ring	원, 반지
dirty	더러운
hill	언덕
open	열다
member	회원
shopkeeper	가게주인
service	섬기다, 봉사하다
ill	아픈
river	강
bag	가방
beach	해변
advise	충고
dozen	1다스, 12개
university	대학
Tuesday	화요일
ice	얼음
pen	펜
expensive	비싼
head	머리
Saturday	토요일
piano	피아노
leader	지도자
lecture	강의 ,강의하다
butter	버터
alive	살아있는
letter	편지
restaurant	레스토랑
badly	나쁘게
box	상자
lion	사자
kill	죽이다
break	깨지다
potato	감자
sing	노래하다
custom	관습
educate	교육하다
rabbit	토끼
such	그러한
thought	생각
whether	인지, 어떤지
rule	규칙, 지배하다
page	페이지
friendly	친한
feeling	느낌
sir	~님
white	흰색
weak	약한
feather	깃, 깃털
scientist	과학자
Christmas	크리스마스
wild	야생의, 난폭한
ready	준비된
off	멀리, 꺼진
doll	인형
join	결합하다, 참가하다
fish	물고기, 낚시
wise	현명한
Australian	오스트레일리아의
impossible	불가능한
sell	팔다
solve	풀다
high	높은
social	사회의
ago	~전에
sweet	달콤한
west	서쪽
week	일주일
ticket	표, 입장권
climb	오르다
aunt	아주머니
wonder	궁금해하다
clear	맑은
sandwich	샌드위치
curiosity	호기심이 강한
textbook	교과서
example	예제
birthday	생일
gift	선물, 재능
plate	접시
heavy	무거운
metal	금속
blackboard	칠판
wagon	집 마차
silly	어리석은
uncle	삼촌
careful	주의 깊은
silent	조용한
happiness	행복
ear	귀
film	필름, 영화
trouble	고생, 어려움
shirts	셔츠
valley	계곡
library	도서관
against	~반대하여
change	변화하다
safety	안전
medical	의학의
poster	벽보
precious	귀중한
rope	줄, 밧줄
January	월
reason	이유
express	표현하다
international	국제적인
twice	두 배로
garage	차고
once	한 때
god	신, 하나님
graduate	졸업하다
manager	지배인
shine	빛나다
candle	양초
group	집단
problem	문제
field	들판
guitar	기타
statue	조각상
matter	일, 문제
farmer	농부
half	절반, 30분
gesture	몸짓, 손짓
junior	후배의, 젊은
chicken	병아리
club	클럽
imagine	상상하다, 생각하다
own	자기자신의
famous	유명한
story	이야기
below	celebrate
successful	성공적인
water	물
key	열쇠
July	7월
both	둘 다
basic	기초의
basketball	농구
diary	일기
single	혼자의
body	몸
worse	더 나쁜
interesting	흥미 있는
serious	진지한
judge	재판하다, 재판관
size	크기
safe	안전한
bread	빵
industry	산업, 공업
Asia	아시아
piece	한 장, 조각
melt	녹다, 녹이다
factory	공장
wash	씻다
funny	재미있는
hurt	상처를 입히다  상처
among	~사이에
frankly	솔직히
card	카드
chair	의자
teach	가르치다
food	음식
price	가격
danger	위험
homework	숙제
engine	엔진
advice	충고
noon	정오
throat	목구멍
unhappy	불행하게도
shout	외치다
building	건물
near	가까운
pollute	더럽히다, 오염시키다
sorrow	슬픔
scientific	과학의, 과학적인
event	사건, 행사
drink	마시다
tomorrow	내일
alone	홀로
song	노래하다
introduce	소개하다
village	마을
well done	고기가 잘 익은
bottle	병아리
paint	그리다
parent	부모님
age	나이, 시대
church	교회
goods	상품
circle	원
hurry	서두르다
die	죽다
meaning	뜻, 의미
public	공공의,공적인
fifth	다섯 번째의
list	목록
guest	손님
fly	날다
classroom	교실
gold	금
wide	폭이 넓은
guess	추측하다
sin	범죄
above	~위에,
chocolate	초콜릿
wait	기다리다
bring	가져오다
program	프로그램
expression	표현
few	거의 없는
listen	듣다
floor	바닥, 건물의 층
simply	간단히
fence	울타리
local	지방의
lonely	고독한
September	9월
red	빨간
street	길거리
female	여성, 여성의
schedule	예정, 시간표
black	검정색
madam	부인
wrong	잘못된
private	개인의
brother	형제
patience	인내
disappointment	실망시키다
airport	공항
common	공통의 ,보통의
desk	책상
sleepy	졸린
mayor	시장
grow	성장하다
most	가장 좋은
actual	실제의, 사실상의, 현실의, 실적, 현물
destructive	파괴적인, 파멸적인, 해로운, 유해한
earnings	수입, 소득
elegance	우아함
embarrass	난처하게 하다
evolution	전개, 발전, 진화, 방출
heritage	상속재산, 유산, 전통, 천성
individual	개개의, 개인적인, 독특한, 단일의
kneel	무릎 꿇다, 굴복하다
luxury	사치, 사치품, 향락, 사치스러운, 고급의
marriage	결혼, 결혼 생활
mob	군중, 폭도
organization	조직, 단체
procedure	수속, 진행, 절차
self-esteem	자존심, 자부심
strife	투쟁, 싸움, 경쟁, 분쟁
surgeon	외과 의사
vanity	덧없음, 공허, 무익한 일, 허영의 근원
aging	노화,고령의, 연로한, 숙성
apology	사과, 변명, 변호, 해명
audience	청중, 관객, 추종자, 청휘, 경청, 공식회견
causal	원인이 되는
consume	소비하다, 다 써버리다, 없애버리다, 낭비하다
donation	기부(금), 기증
efficiency	능률, 효력, 유효성
fluid	액체, 유동성의
freezing	몹시 추운
inability	무능, 무력
merit	우수함, 장점, 공로, 공과, ~할 만하다
midterm	중간고사
output	작품 수, 산출, 생산
overcrowded	매우 혼잡한, 초만원의
regrettably	유감스럽게도
scent	향기, 냄새 맡다
sigh	한숨(쉬다)
swell	부풀다, 부풂
capitalism	자본주의
Confucianism	유교
faith	신념, 신조, 신앙심, 신뢰, 성실, 약속
further	그 이상의,더 나아가,진행시키다, 더욱 멀리
intellect	지성, 지능, 지식인
life-threatening	생명을 위협하는
lightning	번개
meadow	목초지, 초원, 강변의 풀밭
owe	힘입다, 빚(의무)이 있다
perfume	향수, 향기
prosecution	수행, 종사, 경영, 기소, 구형
resistance	저항, 반대, 저항력, 나치저항운동
soft drink	청량 음료
torture	고문, 고뇌, 고문하다
vary	변화하다, 변경하다, 다르다, 일탈하다
venture	감히 ~하다, 투기적 사업
activity	활동, 행동, 사업, 운동, 움직임, 호경기
ashamed	부끄러워하는, 수줍어하는, 딱하게 여기는
Buddhism	불교
childish	유치한
cloudless	구름 없는, 맑게 갠
cottage	오두막집, 시골집
definition	정의
diplomacy	외교(술)
estate	재산, 지위
frame	구조, 골격, 형성하다
generously	아낌없이, 관대하게
human	인간의, 인간다운
lung	폐, 허파
oppress	압박하다
origin	기원, 태생
piety	경건, 충성심, 경애, 신앙심
plastic bag	비닐 봉지
profit	이익, 소득, 이자, ~의 이익이 되다, 소득을 얻다
refer	언급하다, 참조하다
respond	응답하다, 반응하다, 책임을 다하다, ~에 답하다
rivalry	경쟁, 대항
sob	흐느껴 울다
sponsorship	후원
traffic jam	교통체증
weapon	무기
admiral	해군대장, 제독
article	기사, 조항, 품목, 논설, 조항, 계약
attendance	출석, 참석, 간호, 서비스
checkup	건강 진단, 점검, 분해검사
emphasis	강조, 강세, 역설, 중요성
essay	수필
fountain	분수, 근원, 원천
gas station	주유소
growth	성장, 발전, 증대, 배양, 발생
jealousy	질투, 투기, 시샘, 경계심
journalism	언론, 신문 방송학
nutrition	영양, 음식물, 영양학
package	패키지 여행, 소포
plow	쟁기, 경작, 갈다, 주름살을 짓다, 물결을 가르고 나아가다
poverty	가난, 결핍, 열등, 빈약
proportion	비율, 조화, 부분, 규모, 조화시키다, 할당하다
reaction	반작용, 반동, 반응
region	지역, 지방, 영역
robbery	강도, 강도 사건
rumor	소문, 풍문, 남의 이야기를 하다
scholarship	장학금
sincerity	성실, 진실, 순수함
subjective	주관적인
summary	요약, 요약한
angle	각도, 관점, 귀퉁이, 국면, 상황
aspect	양상, 국면, 외관, 정세, 전망, 견해
babysit	아이를 봐주다
back pain	요통
baggage	짐, 수화물, 인습
barometer	기압계, 지표, 표준, 척도
cancel	~을 지우다, 취소하다, 상쇄하다, 약분되다, 취소, 말살
characterize	특징 지우다, 특성을 묘사하다, ~으로 보다
fluency	유창함
heartwarming	마음이 따스해지는
injure	해치다, 상처를 입히다, 명예를 훼손하다
instrument	기구, 수단
male	남자, 수컷, 남자의
meaningless	무의미한
pang	심한 고통, 양심의 가책
prairie	대초원
publisher	출판사
quality	품질, 성질, 우수상, 높은 신분
riddle	수수께끼
sculpture	조각
selfish	이기적인
tact	재치, 요령
thirst	갈증, 갈망, 술을 마시고 싶은 기분, 갈망하다
used	중고의
atomic	원자(력)의, 원자의, 원자탄의
avail	쓸모 있다, ~에 효력이 있다. 이익, 효력
bronze	청동
category	범부
cold-blooded	냉혈의, 냉혹한
conception	개념, 생각, 파악, 구상, 창안, 수태, 발단
counseling	상담, 조언
export	수출하다, 수출, 수출품
gender	성별
guard	지키다, 조심하다, 경계, 수위
Muslim	이슬람교도
must-have	필수품
practical	실용적인
preferable	더 마음에 드는
prepared	준비가 되어 있는
republic	공화국, 공화정체
revolutionize	~에 혁명을 일으키다, 근본적으로 바꾸다
sink	가라앉다,싱크대
unemployment	실업
victory	승지, 승전, 극복
vigor	활기, 체력, 활력, 기운, 구속력
achievement	업적, 달성, 학력, 달성
backpacker	배낭 여행자
career	경력
cell	세포
cyberspace	사이버 공간, 가상 공간
damage	손해, 피해, 배상금, ~에 손해를 입히다, 손상시키다
debt	빚, 부채
economist	경제학자
economy class	(열차, 항공기의) 일반석
ecosystem	생태계
medication	약물 치료
moral	도덕적인, 정신적인, 도덕
movie-goer	영화관에 자주 가는 사람
passion	열정, 격노, 정열, 매우 좋아하는 것
principle	원리, 근본방침, 정의, 본질
cash	현금으로 바꾸다,현금
chaos	혼돈, 무질서, 카오스
conclusion	결론, 결말
deficient	부족한
digestion	소화, 소화력, 동화력, 이해
economics	경제학
emigrant	이주자
explanation	설명, 해석, 해명, 화해
hesitate	주저하다, 망설이다, ~할 마음이 나지 않다, 주저하며 말하다
imagination	상상(력)
including	~을 포함하여, ~함께, ~을 넣어서
informal	비공식의
Jewish	유대인의, 유대교의
literature	문학, 문예, 문학연구, 문헌, 논문
moisture	습기, 수분, 수증기, 땀
operate	움직이다, 운영하다, 수술하다
orphanage	고아원
reduction	축소, 감소
skyscraper	고층 건물
study abroad	유학하다
surgery	외과 수술
tasteless	무미건조한, 맛없는
voluntary	자발적인
bough	나뭇가지
carve	새기다, 조각하다
combine	~을 결합시키다, 배합하다, 겸비하다, 연합하다
disastrous	비참한, 파괴적인
familiar	친한, 잘 알고 있는, 흔한, 편한, 친구, 정통한 사람
frustration	좌절, 차질, 실패, 타파, 계약의 불이행, 좌절감
hatred	증오, 원한, 집단증오
include	포함하다
long-term	장기적인
mystery	신비, 불가사의
refuge	피난(처)
relief	구제, 안심
revenge	복수, 원한, 복수하다
revolution	혁명, 회전, 공전주기, 순환
situation	위치, 사태, 상황
stern	엄한, 엄격한, 단호한, 무서운
stimulus	자극, 격려, 흥분제
structure	구조, 건조물
stuff	재료, 물건
technology	공업기술, 공예, 응용과학
thunderstorm	뇌우
toothpaste	치약
betrayal	배신, 배반행위, 폭로, 밀고, 내통
closet	벽장, 옷장,비밀의
costume	복장, 시대 의상
daylight	낮,낮 동안의
detective	탐정, 형사
dictator	독재자
differ	다르다
direct	~에게 길을 가리키다, 감독하다,직접의
embarrassed	난처한, 당혹한
embassy	대사관
expansion	확장
fever	열
honesty	정직
instructive	교훈적인, 유익한
isolation	고립, 격리
landlord	집주인
military	군대의, 육군의, 호전적인, 군인다운
missing	사라진, 행방불명의
oath	맹세, 서약
parachute	낙하산
preschool	유치원,취학전의
prime time	(방송의) 황금 시간대
rapid	빠른
recreation	휴양, 기분전환, 오락
threat	위협, 협박, -의 우려, 징조, 강적
affection	애정, 연모, 감정, 영향, 월경, 편견
anxiety	걱정, 불안
automated	자동화된, 자동의
campaign	(선거)운동
code	암호, 법전, 규범
compete	경쟁하다, 필적하다, 어깨를 겨루다
